Rank,Address,Name Tag,Balance,Percentage,Txn Count
1,0x00000000219ab540356cbb839cbe05303d7705fa,Eth2 Deposit Contract,"13,170,629.000069 Ether",10.98822335%,209885
2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,"4,292,271.99490362 Ether",3.58103196%,8999160
3,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Kraken 13,"2,113,030.00445455 Ether",1.76289573%,68
4,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,"1,996,008.27992735 Ether",1.66526479%,1098
7,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,"1,341,122.36792507 Ether",1.11889509%,17185
8,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,"991,303.73565884 Ether",0.82704227%,8764
9,0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1,"685,495.27049071 Ether",0.57190702%,1270
10,0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,Arbitrum: Bridge,"681,646.62990881 Ether",0.56869611%,50
11,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,"549,921.16082716 Ether",0.45879787%,8021940
12,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,Compound: cETH Token,"527,741.62595537 Ether",0.44029354%,285814
13,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,"479,498.95358134 Ether",0.40004480%,351
14,0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3,"450,798.69146404 Ether",0.37610024%,1576358
16,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,Polygon (Matic): Ether Bridge,"354,110.21703857 Ether",0.29543328%,67
18,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,EthDev,"343,270.35590318 Ether",0.28638961%,944
19,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,Liquity: Active Pool,"334,379.09706975 Ether",0.27897166%,55
21,0x3bfc20f0b9afcace800d73d2191166ff16540258,Polkadot: MultiSig,"306,276.63536139 Ether",0.25552584%,171
22,0x0548f59fee79f8832c299e01dca5c76f034f558e,OTC: 0x054...58e,"301,243.06938278 Ether",0.25132635%,10357
23,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,Vb 3,"290,000.92186839 Ether",0.24194706%,82
24,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2,"275,652.03902603 Ether",0.22997582%,3364884
26,0xa929022c9107643515f5c777ce9a910f0d1e490c,HECO Chain: Bridge,"274,636.85967248 Ether",0.22912886%,21764
36,0x78605df79524164911c144801f41e9811b7db73d,BitDAO: Treasury,"246,297.98847312 Ether",0.20548581%,55
40,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,Lido: Curve Liquidity Farming Pool Contract,"219,424.16715206 Ether",0.18306504%,43856
41,0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 9,"215,368.75591044 Ether",0.17968162%,28
42,0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,Blockfolio,"211,305.44547749 Ether",0.17629161%,259770
44,0xa160cdab225685da1d56aa342ad8841c3b53f291,Tornado.Cash: 100 ETH,"200,900 Ether",0.16761038%,8385
45,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,Bithumb 12,"200,001.664584 Ether",0.16686090%,50
46,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,OKEx 6,"200,000.10705597 Ether",0.16685960%,39
50,0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,"188,508.62367176 Ether",0.15727228%,185
52,0x36a85757645e8e8aec062a1dee289c7d615901ca,Bitfinex 10,"177,328.30765968 Ether",0.14794457%,26
63,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,"167,235.92756088 Ether",0.13952452%,779466
64,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,Golem: Multisig,"165,034.34311324 Ether",0.13768775%,493
90,0xd69b0089d9ca950640f5dc9931a41a5965f00303,Gemini 7,"144,461.57638037 Ether",0.12052394%,104
92,0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,"142,805.99254171 Ether",0.11914269%,6493
102,0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5,"126,717.48057762 Ether",0.10572008%,33
103,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex 4,"123,587.69025187 Ether",0.10310891%,10
105,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,"121,292.78716985 Ether",0.10119427%,5330492
113,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,Optimism: Gateway,"115,899.28503023 Ether",0.09669449%,209390
115,0x376c3e5547c68bc26240d8dcc6729fff665a4448,Iconomi: MultiSig 1,"114,939.00001 Ether",0.09589332%,62
117,0x1b8766d041567eed306940c587e21c06ab968663,Bitfinex 14,"111,377.3141615 Ether",0.09292182%,3
120,0x5a710a3cdf2af218740384c52a10852d8870626a,Bitfinex 15,"107,141.16775261 Ether",0.08938761%,26
127,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,"105,376.05146442 Ether",0.08791498%,4740123
135,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex 5,"100,116.86592345 Ether",0.08352725%,23
136,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3,"100,019.76046368 Ether",0.08344624%,110
146,0x28140cb1ac771d4add91ee23788e50249c10263d,Bitfinex 16,"97,634.063475 Ether",0.08145586%,1
148,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,"96,208.61030566 Ether",0.08026661%,2687255
149,0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone 2,"95,993.89170392 Ether",0.08008747%,70
150,0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex 11,"95,263.26323519 Ether",0.07947791%,1
151,0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,Fund: 0x115...3cD,"94,954.60140255 Ether",0.07922039%,174
152,0x629e7da20197a5429d30da36e77d06cdf796b71a,Wormhole Network Exploiter,"93,750.62308981 Ether",0.07821591%,123
158,0xbf4ed7b27f1d666546e30d74d50d173d20bca754,WithdrawDAO,"86,503.33430844 Ether",0.07216952%,19524
165,0xb3764761e297d6f121e79c32a65829cd1ddb4d32,Multisig Exploit Hacker,"83,017.20927198 Ether",0.06926105%,65
198,0x755cdba6ae4f479f7164792b318b2a06c759833b,ExtraBalDaoWithdraw,"71,168.48432078 Ether",0.05937569%,8244
247,0x1342a001544b8b7ae4a5d374e33114c66d78bd5f,Gatecoin Hacker 2,"59,491.41000001 Ether",0.04963354%,39
248,0xd4914762f9bd566bd0882b71af5439c0476d2ff6,Gatecoin Hacker 1,"59,480.51000001 Ether",0.04962444%,40
261,0x64192819ac13ef72bf6b5ae239ac672b43a9af08,Axie Infinity: Ronin Bridge V2,"55,464.18168949 Ether",0.04627363%,11368
273,0x111cff45948819988857bbf1966a0399e0d1141e,bitFlyer,"51,965.63545229 Ether",0.04335480%,5718
300,0x21346283a31a5ad10fa64377e77a8900ac12d469,iEXEC: MultiSig,"49,200.03794052 Ether",0.04104747%,133
302,0xaf1931c20ee0c11bea17a41bfbbad299b2763bc0,Luno 1,"48,995.71325133 Ether",0.04087700%,2933
308,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,"47,176.42647824 Ether",0.03935918%,2246867
309,0xa646e29877d52b9e2de457eca09c724ff16d0a2b,Status: Research & Development MultiSig,"47,000.11000066 Ether",0.03921208%,224
314,0x957cd4ff9b3894fc78b5134a8dc72b032ffbc464,Blockchainbandit,"44,755.91743817 Ether",0.03733975%,5995
352,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,"39,205.06431142 Ether",0.03270869%,3892490
361,0x06a0048079ec6571cd1b537418869cde6191d42d,Binance 29,"37,913.56194792 Ether",0.03163119%,6
364,0x04786aada9deea2150deab7b3b8911c309f5ed90,Gatecoin Hacker 4,"37,257.53286551 Ether",0.03108387%,60
385,0xc5424b857f758e906013f3555dad202e4bdb4567,Curve.fi: ETH/sETH Pool,"35,486.13571509 Ether",0.02960600%,11451
392,0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,Bitfinex 12,"34,740.37540505 Ether",0.02898381%,1
398,0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,"33,330.61929991 Ether",0.02780765%,4118549
403,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance 17,"32,134.81978138 Ether",0.02681000%,3228598
405,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,Binance US 3,"31,854.93160131 Ether",0.02657649%,1363622
429,0x34ea4138580435b5a521e460035edb19df1938c1,Binance US 2,"29,862.53032976 Ether",0.02491424%,442
438,0xcafe1a77e84698c83ca8931f54a755176ef75f2c,Aragon: Multisig,"29,078.31913573 Ether",0.02425997%,822
456,0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,"27,716.63260158 Ether",0.02312392%,3376289
485,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance 20,"25,391.06132241 Ether",0.02118370%,1508176
506,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,ENS: ETH Registrar Controller,"24,248.25284947 Ether",0.02023026%,3386679
508,0x674bdf20a0f284d710bc40872100128e2d66bd3f,Loopring: Exchange v2 Deposit,"24,194.69151768 Ether",0.02018557%,34
526,0xd884aca1897ac45515cee6d5fd48f341b4023ace,Hegic: Development Fund,"22,753.11535151 Ether",0.01898287%,143
527,0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance 18,"22,581.10695855 Ether",0.01883936%,2967469
531,0xd01ae1a708614948b2b5e0b7ab5be6afa01325c7,QubitFin Exploiter,"22,212.58885184 Ether",0.01853191%,134
539,0xabea9132b05a70803a4e85094fd0e1800777fbef,zkSync,"22,068.30917778 Ether",0.01841154%,523834
540,0x5c8344bcdc38f1ab5eb5c1d4a35ddeea522b5dfa,Synthetix: Collateral Eth,"22,037.67716871 Ether",0.01838598%,1212
545,0x0bc3807ec262cb779b38d65b38158acc3bfede10,Nouns DAO: Treasury,"21,656.99818071 Ether",0.01806838%,28
556,0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,Coinhako: Warm Wallet,"21,027.75732395 Ether",0.01754341%,4049
561,0x3e40d73eb977dc6a537af587d48316fee66e9c8c,Lido: Treasury,"20,940.35623571 Ether",0.01747049%,28
569,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase 6,"20,522.74422816 Ether",0.01712207%,7190086
644,0x997114ca0830e9bee7443368fa27f4af2d4e55a6,Plus Token Ponzi 2,"19,273.7790971 Ether",0.01608007%,54
655,0xf326e4de8f66a0bdc0970b79e0924e33c79f1915,MetaMask: DS Proxy,"18,621.24211046 Ether",0.01553566%,87
659,0x53b36141490c419fa27ecabfeb8be1ecadc82431,Bitfinex 17,"18,139.48331812 Ether",0.01513373%,1
667,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken,"17,811.11432657 Ether",0.01485977%,54799
668,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,Tornado.Cash: 10 ETH,"17,810 Ether",0.01485884%,13853
681,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,IDEX,"17,577.23244098 Ether",0.01466464%,9788021
698,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,EtherDelta 2,"16,912.13341281 Ether",0.01410975%,11542954
710,0xf5c9f957705bea56a7e806943f98f7777b995826,Sorare: L2 Bridge,"16,671.19050492 Ether",0.01390873%,102745
718,0x1ad91ee08f21be3de0ba2ba6918e714da6b45836,Hiveon Pool,"16,582.42329466 Ether",0.01383467%,3459925
724,0xc7cd9d874f93f2409f39a95987b3e3c738313925,Musiconomi: MultiSig,"16,475.53416533 Ether",0.01374550%,101
728,0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,Huobi 27,"16,416.75426078 Ether",0.01369646%,419505
778,0xeea81c4416d71cef071224611359f6f99a4c4294,BitMEX 1,"15,914.63697417 Ether",0.01327754%,80
785,0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,"15,787.88265196 Ether",0.01317179%,1475366
798,0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase 4,"15,588.90154325 Ether",0.01300578%,9374924
803,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,Huobi 34,"15,469.00818229 Ether",0.01290576%,621011
832,0x764c64b2a09b09acb100b80d8c505aa6a0302ef2,Truebit Protocol: Purchase,"14,789.56589229 Ether",0.01233890%,2402
844,0x23ea10cc1e6ebdb499d24e45369a35f43627062f,Digix: DGD ETH Refund,"14,416.96716156 Ether",0.01202804%,1975
852,0x46340b20830761efd32832a74d7169b29feb9758,Crypto.com 2,"14,149.5754547 Ether",0.01180496%,6578866
857,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,Poloniex 4,"14,017.95822532 Ether",0.01169515%,1226656
879,0xeae57ce9cc1984f202e15e038b964bb8bdf7229a,Sollet: Solana Bridge,"13,713.99297083 Ether",0.01144155%,70553
912,0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,CoinDash: Token Sale,"13,000.46725884 Ether",0.01084626%,2165
925,0x000000000000000000000000000000000000dead,Null Address: 0x00...dEaD,"12,559.60520969 Ether",0.01047845%,3633
927,0xb8901acb165ed027e32754e0ffe830802919727f,Hop Protocol: Ethereum Bridge,"12,512.24968901 Ether",0.01043894%,294570
930,0x0c295c085cae9c6278df49477d29f71d78c5490d,Sparkster: Wallet,"12,500.8355312 Ether",0.01042942%,71
957,0x0cd76cd43992c665fdc2d8ac91b935ca3165e782,Bitfinex 18,"12,284.33645009 Ether",0.01024879%,1
998,0xd793281182a0e3e023116004778f45c29fc14f19,Gate.io: Contract,"11,828.78872651 Ether",0.00986873%,213
1024,0x10c6b61dbf44a083aec3780acf769c77be747e23,Multichain: Moonriver Bridge,"11,640.32133005 Ether",0.00971149%,30387
1046,0x86766247ba3405c5f15f06b895294200809e9cfb,CashioApp Exploiter,"11,517.42640234 Ether",0.00960896%,44
1060,0x66017d22b0f8556afdd19fc67041899eb65a21bb,Liquity: Stability Pool,"11,404.09403353 Ether",0.00951441%,26603
1061,0x0000000000000000000000000000000000000000,Null Address: 0x000…000,"11,401.56322019 Ether",0.00951230%,69525
1076,0x55c536da641436e81d7e3f83d1b1346de20e7a71,Whiteheart: Deployer,"11,076.30819998 Ether",0.00924094%,21
1119,0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,"10,694.72973708 Ether",0.00892259%,971353
1121,0x3eb01b3391ea15ce752d01cf3d3f09dec596f650,Kyber: MultiSig,"10,676.34867096 Ether",0.00890725%,2207
1128,0x1692e170361cefd1eb7240ec13d048fd9af6d667,KuCoin 5,"10,597.49307239 Ether",0.00884146%,4254
1137,0x5fdcca53617f4d2b9134b29090c87d01058e27e9,Immutable X: Bridge,"10,458.83651627 Ether",0.00872578%,294894
1148,0x5cdaf83e077dbac2692b5864ca18b61d67453be8,ZKSwap: ZKSpace Bridge,"10,295.80514179 Ether",0.00858976%,32921
1178,0x9bdb521a97e95177bf252c253e256a60c3e14447,Nexo: Corporate Treasury,"10,085.47904604 Ether",0.00841429%,1178
1179,0x905315602ed9a854e325f692ff82f58799beab57,Alpha Homora V2 Exploiter,"10,080.67384209 Ether",0.00841028%,66
1383,0x1bf68a9d1eaee7826b3593c20a0ca93293cb489a,Orbit Chain: Bridge,"9,305.7289299 Ether",0.00776375%,105191
1397,0x416299aade6443e6f6e8ab67126e65a7f606eef5,Luno 2,"9,082.75610162 Ether",0.00757772%,1106247
1412,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,CryptoPunks: Ͼ Token,"8,936.96002864 Ether",0.00745608%,213932
1437,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase 3,"8,576.42933694 Ether",0.00715529%,7739809
1441,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,"8,550.18553765 Ether",0.00713340%,11362240
1457,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,"8,442.09076233 Ether",0.00704322%,8871760
1460,0x649765821d9f64198c905ec0b2b037a4a52bc373,Bancor: Master Vault V3,"8,400.26732698 Ether",0.00700832%,4
1462,0x6dd5a9f47cfbc44c04a0a4452f0ba792ebfbcc9a,Santiment: Wallet 2,"8,375.51920324 Ether",0.00698767%,107
1463,0x686e5ac50d9236a9b7406791256e47feddb26aba,Metronome: Autonomous Converter,"8,370.20292508 Ether",0.00698324%,24196
